Country,first_seq,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Guinea-Bissau,2020-05-13,2021-01-29,S.Q677,2021-01-11,261,False,0.0177725118483412,25.06930693069307,0.4455445544554455,5.127686860427215
Kenya,2020-05-17,2021-10-01,S.Q677,2021-01-15,502,False,0.0205345880468515,1399.7324840764331,28.74292993630573,510.5698304953057
Bangladesh,2020-05-17,2021-09-26,S.Q677,2021-01-15,497,False,0.0176710492983212,8618.616666666667,152.3,2617.593611697954
South Africa,2020-05-28,2021-10-20,S.Q677,2021-01-26,510,False,0.0304176437001815,6571.635522310643,199.89366784510176,5543.397524947479
Malaysia,2020-05-29,2021-11-03,S.Q677,2021-01-27,523,False,0.0116989660705452,9882.715799748989,115.61755682610514,4117.4645251057655
Guinea,2020-06-02,2021-07-16,S.Q677,2021-01-31,409,False,0.007586631125692,1346.093418259023,10.21231422505308,50.33639384108582
South Korea,2020-06-08,2021-10-09,S.Q677,2021-02-06,488,False,0.007767277290291,187.3694423511681,1.4553504144687264,565.2071947857892
Senegal,2020-06-09,2021-10-25,S.Q677,2021-02-07,503,False,0.0254140954855472,9547.908794788274,242.6514657980456,143.68025130686885
North Macedonia,2020-06-11,2021-04-26,S.Q677,2021-02-09,319,False,0.0312865031326324,7113.561151079137,222.55845323741008,479.5442268112969
Saudi Arabia,2020-06-13,2021-09-06,S.Q677,2021-02-11,450,False,0.0157342689406374,11492.241217798595,180.82201405152225,662.3595537939291
